x, rho, T
# j_p = -0.50000000, j_e = -0.50000000
# rho_L= 0.400, rho_R= 0.600, T_L= 4.000, T_R= 1.000, beta=   0.0
  0.000000,  0.40000000,  4.00000000
  0.005025,  0.33100503,  3.95140688
  0.010050,  0.33201005,  3.93681346
  0.015075,  0.33301508,  3.92221974
  0.020101,  0.33402010,  3.90762572
  0.025126,  0.33502513,  3.89303139
  0.030151,  0.33603015,  3.87843676
  0.035176,  0.33703518,  3.86384182
  0.040201,  0.33804020,  3.84924658
  0.045226,  0.33904523,  3.83465104
  0.050251,  0.34005025,  3.82005520
  0.055276,  0.34105528,  3.80545905
  0.060302,  0.34206030,  3.79086260
  0.065327,  0.34306533,  3.77626585
  0.070352,  0.34407035,  3.76166880
  0.075377,  0.34507538,  3.74707144
  0.080402,  0.34608040,  3.73247378
  0.085427,  0.34708543,  3.71787581
  0.090452,  0.34809045,  3.70327754
  0.095477,  0.34909548,  3.68867897
  0.100503,  0.35010050,  3.67408010
  0.105528,  0.35110553,  3.65948092
  0.110553,  0.35211055,  3.64488144
  0.115578,  0.35311558,  3.63028166
  0.120603,  0.35412060,  3.61568157
  0.125628,  0.35512563,  3.60108118
  0.130653,  0.35613065,  3.58648049
  0.135678,  0.35713568,  3.57187950
  0.140704,  0.35814070,  3.55727820
  0.145729,  0.35914573,  3.54267660
  0.150754,  0.36015075,  3.52807470
  0.155779,  0.36115578,  3.51347249
  0.160804,  0.36216080,  3.49886998
  0.165829,  0.36316583,  3.48426716
  0.170854,  0.36417085,  3.46966405
  0.175879,  0.36517588,  3.45506063
  0.180905,  0.36618090,  3.44045691
  0.185930,  0.36718593,  3.42585288
  0.190955,  0.36819095,  3.41124855
  0.195980,  0.36919598,  3.39664392
  0.201005,  0.37020101,  3.38203899
  0.206030,  0.37120603,  3.36743375
  0.211055,  0.37221106,  3.35282821
  0.216080,  0.37321608,  3.33822237
  0.221106,  0.37422111,  3.32361622
  0.226131,  0.37522613,  3.30900977
  0.231156,  0.37623116,  3.29440302
  0.236181,  0.37723618,  3.27979596
  0.241206,  0.37824121,  3.26518861
  0.246231,  0.37924623,  3.25058094
  0.251256,  0.38025126,  3.23597298
  0.256281,  0.38125628,  3.22136471
  0.261307,  0.38226131,  3.20675614
  0.266332,  0.38326633,  3.19214727
  0.271357,  0.38427136,  3.17753809
  0.276382,  0.38527638,  3.16292861
  0.281407,  0.38628141,  3.14831883
  0.286432,  0.38728643,  3.13370874
  0.291457,  0.38829146,  3.11909836
  0.296482,  0.38929648,  3.10448766
  0.301508,  0.39030151,  3.08987667
  0.306533,  0.39130653,  3.07526537
  0.311558,  0.39231156,  3.06065377
  0.316583,  0.39331658,  3.04604187
  0.321608,  0.39432161,  3.03142966
  0.326633,  0.39532663,  3.01681715
  0.331658,  0.39633166,  3.00220434
  0.336683,  0.39733668,  2.98759122
  0.341709,  0.39834171,  2.97297780
  0.346734,  0.39934673,  2.95836408
  0.351759,  0.40035176,  2.94375006
  0.356784,  0.40135678,  2.92913573
  0.361809,  0.40236181,  2.91452110
  0.366834,  0.40336683,  2.89990616
  0.371859,  0.40437186,  2.88529093
  0.376884,  0.40537688,  2.87067539
  0.381910,  0.40638191,  2.85605954
  0.386935,  0.40738693,  2.84144340
  0.391960,  0.40839196,  2.82682695
  0.396985,  0.40939698,  2.81221020
  0.402010,  0.41040201,  2.79759314
  0.407035,  0.41140704,  2.78297578
  0.412060,  0.41241206,  2.76835812
  0.417085,  0.41341709,  2.75374016
  0.422111,  0.41442211,  2.73912189
  0.427136,  0.41542714,  2.72450332
  0.432161,  0.41643216,  2.70988445
  0.437186,  0.41743719,  2.69526527
  0.442211,  0.41844221,  2.68064579
  0.447236,  0.41944724,  2.66602601
  0.452261,  0.42045226,  2.65140592
  0.457286,  0.42145729,  2.63678554
  0.462312,  0.42246231,  2.62216484
  0.467337,  0.42346734,  2.60754385
  0.472362,  0.42447236,  2.59292255
  0.477387,  0.42547739,  2.57830095
  0.482412,  0.42648241,  2.56367905
  0.487437,  0.42748744,  2.54905684
  0.492462,  0.42849246,  2.53443433
  0.497487,  0.42949749,  2.51981152
  0.502513,  0.43050251,  2.50518840
  0.507538,  0.43150754,  2.49056499
  0.512563,  0.43251256,  2.47594126
  0.517588,  0.43351759,  2.46131724
  0.522613,  0.43452261,  2.44669291
  0.527638,  0.43552764,  2.43206828
  0.532663,  0.43653266,  2.41744335
  0.537688,  0.43753769,  2.40281811
  0.542714,  0.43854271,  2.38819257
  0.547739,  0.43954774,  2.37356673
  0.552764,  0.44055276,  2.35894058
  0.557789,  0.44155779,  2.34431413
  0.562814,  0.44256281,  2.32968738
  0.567839,  0.44356784,  2.31506033
  0.572864,  0.44457286,  2.30043297
  0.577889,  0.44557789,  2.28580531
  0.582915,  0.44658291,  2.27117734
  0.587940,  0.44758794,  2.25654908
  0.592965,  0.44859296,  2.24192051
  0.597990,  0.44959799,  2.22729163
  0.603015,  0.45060302,  2.21266246
  0.608040,  0.45160804,  2.19803298
  0.613065,  0.45261307,  2.18340320
  0.618090,  0.45361809,  2.16877311
  0.623116,  0.45462312,  2.15414272
  0.628141,  0.45562814,  2.13951203
  0.633166,  0.45663317,  2.12488104
  0.638191,  0.45763819,  2.11024974
  0.643216,  0.45864322,  2.09561814
  0.648241,  0.45964824,  2.08098624
  0.653266,  0.46065327,  2.06635403
  0.658291,  0.46165829,  2.05172152
  0.663317,  0.46266332,  2.03708871
  0.668342,  0.46366834,  2.02245559
  0.673367,  0.46467337,  2.00782218
  0.678392,  0.46567839,  1.99318845
  0.683417,  0.46668342,  1.97855443
  0.688442,  0.46768844,  1.96392010
  0.693467,  0.46869347,  1.94928547
  0.698492,  0.46969849,  1.93465054
  0.703518,  0.47070352,  1.92001530
  0.708543,  0.47170854,  1.90537976
  0.713568,  0.47271357,  1.89074392
  0.718593,  0.47371859,  1.87610778
  0.723618,  0.47472362,  1.86147133
  0.728643,  0.47572864,  1.84683457
  0.733668,  0.47673367,  1.83219752
  0.738693,  0.47773869,  1.81756016
  0.743719,  0.47874372,  1.80292250
  0.748744,  0.47974874,  1.78828454
  0.753769,  0.48075377,  1.77364627
  0.758794,  0.48175879,  1.75900770
  0.763819,  0.48276382,  1.74436883
  0.768844,  0.48376884,  1.72972965
  0.773869,  0.48477387,  1.71509017
  0.778894,  0.48577889,  1.70045039
  0.783920,  0.48678392,  1.68581031
  0.788945,  0.48778894,  1.67116992
  0.793970,  0.48879397,  1.65652923
  0.798995,  0.48979899,  1.64188824
  0.804020,  0.49080402,  1.62724694
  0.809045,  0.49180905,  1.61260534
  0.814070,  0.49281407,  1.59796344
  0.819095,  0.49381910,  1.58332123
  0.824121,  0.49482412,  1.56867872
  0.829146,  0.49582915,  1.55403591
  0.834171,  0.49683417,  1.53939279
  0.839196,  0.49783920,  1.52474938
  0.844221,  0.49884422,  1.51010565
  0.849246,  0.49984925,  1.49546163
  0.854271,  0.50085427,  1.48081730
  0.859296,  0.50185930,  1.46617267
  0.864322,  0.50286432,  1.45152774
  0.869347,  0.50386935,  1.43688250
  0.874372,  0.50487437,  1.42223696
  0.879397,  0.50587940,  1.40759112
  0.884422,  0.50688442,  1.39294498
  0.889447,  0.50788945,  1.37829853
  0.894472,  0.50889447,  1.36365178
  0.899497,  0.50989950,  1.34900472
  0.904523,  0.51090452,  1.33435736
  0.909548,  0.51190955,  1.31970970
  0.914573,  0.51291457,  1.30506174
  0.919598,  0.51391960,  1.29041347
  0.924623,  0.51492462,  1.27576490
  0.929648,  0.51592965,  1.26111603
  0.934673,  0.51693467,  1.24646686
  0.939698,  0.51793970,  1.23181738
  0.944724,  0.51894472,  1.21716760
  0.949749,  0.51994975,  1.20251751
  0.954774,  0.52095477,  1.18786712
  0.959799,  0.52195980,  1.17321643
  0.964824,  0.52296482,  1.15856544
  0.969849,  0.52396985,  1.14391414
  0.974874,  0.52497487,  1.12926254
  0.979899,  0.52597990,  1.11461064
  0.984925,  0.52698492,  1.09995844
  0.989950,  0.52798995,  1.08530593
  0.994975,  0.52899497,  1.07065311
  1.000000,  0.60000000,  1.00000000
